id,name,nationality,sex,date_of_birth,height,weight,sport,gold,silver,bronze,total,year,age
1379,Beatriz Pascual,ESP,female,5/9/1982,1.63,53,athletics,0,0,0,0,1982,34
1380,Beatriz Perez,ESP,female,5/4/1991,1.67,60,hockey,0,0,0,0,1991,25
1381,Becky Sauerbrunn,USA,female,6/6/1985,1.7,61,football,0,0,0,0,1985,31
1382,Bedan Karoki Muchiri,KEN,male,8/21/1990,1.7,54,athletics,0,0,0,0,1990,26
1383,Bediha Gun,TUR,female,10/26/1994,1.67,53,wrestling,0,0,0,0,1994,22
1384,Bedopassa Buassat Djonde,GBS,male,9/20/1992,1.72,97,wrestling,0,0,0,0,1992,24
1385,Begona Garcia,ESP,female,7/19/1995,1.64,54,hockey,0,0,0,0,1995,21
1386,Begona Gumucio,CHI,female,1/14/1992,1.69,66,sailing,0,0,0,0,1992,24
1387,Behdad Salimikordasiabi,IRI,male,12/8/1989,1.92,170,weightlifting,0,0,0,0,1989,27
1388,Beka Gviniashvili,GEO,male,10/26/1995,1.75,95,judo,0,0,0,0,1995,21
1389,Bekhbayar Erdenebat,MGL,male,8/13/1992,1.61,62,wrestling,0,0,0,0,1992,24
1390,Bekir Karayel,TUR,male,5/10/1982,1.7,62,athletics,0,0,0,0,1982,34
1391,Bekir Ozlu,TUR,male,8/30/1988,1.7,60,judo,0,0,0,0,1988,28
1392,Bektemir Melikuziev,UZB,male,4/8/1996,1.77,67,boxing,0,1,0,1,1996,20
1393,Bekzod Abdurakhmonov,UZB,male,3/15/1990,1.72,74,wrestling,0,0,0,0,1990,26
1394,Bela Simon,HUN,male,8/4/1988,1.86,85,rowing,0,0,0,0,1988,28
1395,Belen Casetta,ARG,female,9/26/1994,1.63,52,athletics,0,0,0,0,1994,22
1396,Belen Succi,ARG,female,10/16/1985,1.77,72,hockey,0,0,0,0,1985,31
1397,Belinda Hocking,AUS,female,9/14/1990,1.67,57,aquatics,0,0,0,0,1990,26
1398,Belinda Trussell,CAN,female,8/27/1971,1.6,50,equestrian,0,0,0,0,1971,45
1399,Ben Blankenship,USA,male,12/15/1988,1.78,63,athletics,0,0,0,0,1988,28
1400,Ben Kanute,USA,male,12/14/1992,1.83,70,triathlon,0,0,0,0,1992,24
1401,Ben Maher,GBR,male,1/30/1983,1.64,50,equestrian,0,0,0,0,1983,33
1402,Ben Pinkelman,USA,male,6/13/1994,1.94,99,rugby sevens,0,0,0,0,1994,22
1403,Ben Proud,GBR,male,9/21/1994,1.89,92,aquatics,0,0,0,0,1994,22
1404,Ben Saxton,GBR,male,6/14/1990,1.75,73,sailing,0,0,0,0,1990,26
1405,Ben Saxton,CAN,male,11/21/1988,2,92,volleyball,0,0,0,0,1988,28
1406,Ben Schwietert,NED,male,2/16/1997,1.92,83,aquatics,0,0,0,0,1997,19
1407,Ben St Lawrence,AUS,male,11/7/1981,1.79,65,athletics,0,0,0,0,1981,35
1408,Ben Uzoh,NGR,male,3/18/1988,1.91,92,basketball,0,0,0,0,1988,28
1409,Ben Vogg,SUI,male,9/7/1992,1.8,73,equestrian,0,0,0,0,1992,24
1410,Ben Youssef Meite,CIV,male,11/11/1986,1.8,75,athletics,0,0,0,0,1986,30
